iter	Logloss
0	0.6233323363
1	0.5812003003
2	0.5504580536
3	0.5385878205
4	0.5049309267
5	0.487365958
6	0.4784613028
7	0.4619491748
8	0.4572037552
9	0.4483768447
10	0.4444856374
11	0.4412252905
12	0.4348299706
13	0.4329682136
14	0.4284510907
15	0.4239149621
16	0.4205947681
17	0.4185622446
18	0.4139006077
19	0.4101212954
20	0.4071974737
21	0.4059259231
22	0.4050558043
23	0.4032725254
24	0.4025713492
25	0.4014002251
26	0.3993257656
27	0.3986880437
28	0.3974893178
29	0.3957209477
30	0.3948874442
31	0.394003781
32	0.3928700276
33	0.3917637639
34	0.3911013732
35	0.3905123911
36	0.3889221896
37	0.3878894177
38	0.3872748166
39	0.386475072
40	0.3854381554
41	0.3844007203
42	0.3831467956
43	0.3823051507
44	0.3814604452
45	0.3807809502
46	0.3801389825
47	0.3794424388
48	0.3787788064
49	0.3780699029
50	0.3774832692
51	0.3768315264
52	0.3761490771
53	0.3754711151
54	0.3748598133
55	0.3744465408
56	0.3738347362
57	0.3731587172
58	0.3728468397
59	0.3721130446
60	0.3710753932
61	0.3704677731
62	0.3700852244
63	0.3694855234
64	0.3687705487
65	0.3680629328
66	0.3673588053
67	0.3668963146
68	0.3666336142
69	0.3658674189
70	0.3652058679
71	0.3648468236
72	0.3639419094
73	0.3634133852
74	0.3629523816
75	0.3624644822
76	0.3618892833
77	0.3616207839
78	0.3613257752
79	0.3609074044
80	0.3602484107
81	0.3597784592
82	0.3593708708
83	0.3589952217
84	0.3584579871
85	0.3581159367
86	0.3574016146
87	0.3568649012
88	0.3561237429
89	0.3555444186
90	0.355202403
91	0.3549098269
92	0.3545485979
93	0.3540322786
94	0.3531895031
95	0.3529781132
96	0.352622813
97	0.3522705492
98	0.3520173055
99	0.3515420761
100	0.3510302595
101	0.3508485508
102	0.3504137534
103	0.3498843572
104	0.3492817101
105	0.3487108253
106	0.3483900347
107	0.3481366317
108	0.3477877211
109	0.3472781883
110	0.3470276047
111	0.3462687621
112	0.3459229951
113	0.3455012386
114	0.3450670354
115	0.3444491287
116	0.3441584006
117	0.3437821648
118	0.343552585
119	0.3432153151
120	0.3427246362
121	0.3423034943
122	0.3418987315
123	0.3415336133
124	0.3411965218
125	0.3408015796
126	0.3404819643
127	0.3402043876
128	0.3399622808
129	0.3396792297
130	0.33946478
131	0.3390026999
132	0.3387076877
133	0.3383512937
134	0.3379957574
135	0.337791422
136	0.3375791363
137	0.337158455
138	0.3368619437
139	0.3365549505
140	0.3362320553
141	0.3359496013
142	0.3356766056
143	0.3354183797
144	0.3352746979
145	0.3350801463
146	0.3345881749
147	0.3343676474
148	0.334137719
149	0.3339151809
150	0.3336776311
151	0.3333912491
152	0.3332326268
153	0.3329733213
154	0.332655764
155	0.3321401413
156	0.3318742403
157	0.3316868555
158	0.3313994988
159	0.3311262012
160	0.3308577849
161	0.3307337845
162	0.3305463588
163	0.3301793578
164	0.3298573831
165	0.3295865844
166	0.3291878388
167	0.3288830003
168	0.3285051429
169	0.3279896102
170	0.3275358294
171	0.3272502174
172	0.3270192851
173	0.3267707132
174	0.3265341834
175	0.326283805
176	0.3260624598
177	0.3257385147
178	0.3253414037
179	0.3251202662
180	0.3249271406
181	0.3246885658
182	0.3245070414
183	0.3242147923
184	0.3240066231
185	0.3238875175
186	0.3236948209
187	0.3234880277
188	0.323318752
189	0.322963596
190	0.3226886205
191	0.322375032
192	0.3221167244
193	0.3218042117
194	0.3215770525
195	0.3212795613
196	0.3210663659
197	0.3208476145
198	0.3202185443
199	0.3201145575
