iter	Passed	Remaining
180	1463	2580
181	1471	2570
182	1478	2560
183	1485	2550
184	1492	2541
185	1499	2532
186	1506	2522
187	1514	2513
188	1521	2503
189	1529	2494
190	1536	2484
191	1542	2474
192	1550	2465
193	1558	2457
194	1565	2449
195	1573	2440
196	1581	2432
197	1590	2425
198	1598	2417
199	1605	2408
200	1612	2398
201	1620	2390
202	1627	2380
203	1634	2371
204	1641	2361
205	1648	2352
206	1655	2343
207	1663	2334
208	1670	2325
209	1676	2315
210	1683	2306
211	1690	2297
212	1697	2287
213	1704	2277
214	1711	2268
215	1717	2258
216	1725	2249
217	1732	2241
218	1740	2232
219	1747	2223
220	1754	2215
221	1762	2207
222	1769	2198
223	1777	2190
224	1784	2181
225	1792	2172
226	1799	2163
227	1806	2154
228	1813	2145
229	1820	2136
230	1827	2128
231	1834	2119
232	1841	2110
233	1848	2101
234	1855	2092
235	1862	2083
236	1869	2074
237	1876	2065
238	1883	2057
239	1890	2048
240	1897	2039
241	1905	2031
242	1912	2022
243	1919	2013
244	1926	2004
245	1933	1996
246	1940	1987
247	1947	1978
248	1954	1969
249	1961	1961
250	1968	1952
251	1974	1943
252	1982	1935
253	1989	1927
254	1997	1918
255	2004	1910
256	2011	1901
257	2018	1893
258	2025	1884
259	2033	1876
260	2040	1868
261	2047	1860
262	2054	1851
263	2061	1842
264	2068	1834
265	2074	1825
266	2082	1816
267	2089	1808
268	2097	1800
269	2104	1792
270	2110	1783
271	2118	1775
272	2126	1768
273	2133	1759
274	2140	1751
275	2147	1743
276	2154	1734
277	2162	1726
278	2170	1718
279	2177	1710
280	2184	1702
281	2191	1693
282	2198	1685
283	2205	1677
284	2211	1668
285	2218	1659
286	2224	1650
287	2230	1641
288	2236	1633
289	2243	1624
290	2250	1615
291	2256	1607
292	2262	1598
293	2269	1590
294	2276	1581
295	2283	1573
296	2289	1565
297	2296	1556
298	2302	1547
299	2308	1539
300	2315	1530
301	2322	1522
302	2328	1514
303	2336	1506
304	2343	1498
305	2350	1490
306	2357	1482
307	2367	1475
308	2374	1467
309	2382	1460
310	2390	1452
311	2397	1444
312	2404	1436
313	2410	1427
314	2417	1419
315	2423	1411
316	2430	1403
317	2437	1395
318	2444	1386
319	2450	1378
320	2456	1369
321	2463	1361
322	2469	1353
323	2476	1345
324	2482	1336
325	2489	1328
326	2495	1320
327	2502	1312
328	2508	1304
329	2515	1295
330	2521	1287
331	2527	1279
332	2534	1270
333	2540	1262
334	2547	1254
335	2553	1246
336	2559	1238
337	2566	1229
338	2572	1221
339	2579	1213
340	2585	1205
341	2591	1197
342	2597	1189
343	2604	1181
344	2611	1173
345	2618	1165
346	2624	1157
347	2630	1149
348	2637	1141
349	2645	1133
350	2651	1125
351	2658	1117
352	2665	1109
353	2671	1102
354	2678	1093
355	2684	1086
356	2691	1077
357	2697	1070
358	2704	1062
359	2710	1054
360	2717	1046
361	2724	1038
362	2731	1030
363	2738	1023
364	2745	1015
365	2752	1007
366	2759	1000
367	2766	992
368	2773	984
369	2779	976
370	2786	968
371	2793	961
372	2799	953
373	2806	945
374	2813	937
375	2819	929
376	2826	922
377	2833	914
378	2839	906
379	2847	899
380	2854	891
381	2860	883
382	2868	876
383	2875	868
384	2881	860
385	2888	853
386	2894	845
387	2901	837
388	2907	829
389	2913	821
390	2920	814
391	2926	806
392	2933	798
393	2939	790
394	2945	783
395	2952	775
396	2958	767
397	2965	759
398	2971	752
399	2978	744
400	2984	736
401	2991	729
402	2998	721
403	3005	714
404	3012	706
405	3019	699
406	3026	691
407	3033	684
408	3040	676
409	3047	668
410	3053	661
411	3060	653
412	3066	645
413	3073	638
414	3079	630
415	3085	623
416	3092	615
417	3098	607
418	3105	600
419	3111	592
420	3118	585
421	3125	577
422	3131	570
423	3138	562
424	3144	554
425	3151	547
426	3158	539
427	3165	532
428	3171	524
429	3177	517
430	3184	509
431	3190	502
432	3198	494
433	3204	487
434	3211	479
435	3217	472
436	3224	464
437	3231	457
438	3237	449
439	3244	442
440	3250	434
441	3256	427
442	3262	419
443	3269	412
444	3276	404
445	3282	397
446	3288	389
447	3295	382
448	3301	375
449	3308	367
450	3315	360
451	3321	352
452	3328	345
453	3334	337
454	3341	330
455	3348	323
456	3354	315
457	3361	308
458	3367	300
459	3374	293
460	3380	286
461	3387	278
462	3394	271
463	3400	263
464	3407	256
465	3414	249
466	3421	241
467	3428	234
468	3435	227
469	3442	219
470	3449	212
471	3456	205
472	3463	197
473	3470	190
474	3477	183
475	3484	175
476	3490	168
477	3497	160
478	3504	153
479	3511	146
480	3518	138
481	3525	131
482	3532	124
483	3539	117
484	3547	109
485	3553	102
486	3560	95
487	3567	87
488	3574	80
489	3580	73
490	3587	65
491	3594	58
492	3600	51
493	3607	43
494	3614	36
495	3621	29
496	3628	21
497	3634	14
498	3641	7
499	3647	0
