iter	Logloss
0	0.6718028755
1	0.6509935626
2	0.6359604123
3	0.6209709943
4	0.6084429946
5	0.5975320644
6	0.5802058769
7	0.5739401146
8	0.5645955304
9	0.5604115
10	0.5512764587
11	0.5437043492
12	0.5367235478
13	0.5305383552
14	0.5179430617
15	0.5082597454
16	0.5004906318
17	0.4945373761118	0.4858256177119	0.4805892646220	0.474988441221	0.4631666605
22	0.4583483136
23	0.4486700243
24	0.4450802583
25	0.4390526139
26	0.4365049048
27	0.4316057783
28	0.4262684179
29	0.4238068195
30	0.4187285015331	0.4154076879332	0.4128888963333	0.4101782124334	0.4056373369335	0.4022734982336	0.3983346697337	0.3960401308338	0.3922133006339	0.3911247091440	0.3884790474141	0.3871309142	42	0.3859081543	43	0.382945063
44	0.381250122445	0.3792691195446	0.3769202202
47	0.3760268985
48	0.3737962714949	0.3735185795050	0.3730986625151	0.3725999205252	0.3705287975353	0.3690180795
54	0.3680171054
55	0.3656752023
56	0.3644230097
57	0.3634206601
58	0.3625555405
59	0.3619223807
60	0.3615062198
61	0.3601132198
62	0.3586746864
63	0.3574986423
64	0.3572536299
65	0.3570892451
66	0.3568062098
67	0.3558031543
68	0.3556812787
69	0.3552983229
70	0.3545485445
71	0.3530247221
72	0.3528558149
73	0.3525855616
74	0.3516814878
75	0.3508520265
76	0.3507462272
77	0.350224127
78	0.3497616882
79	0.3495740157
80	0.3494476804
81	0.3486423293
82	0.3480334581
83	0.3479446706
84	0.3459711749
85	0.3450585469
86	0.3445663745
87	0.3444908213
88	0.3443047777
89	0.3441731512
90	0.3435495451
91	0.3429850456
92	0.3425063011
93	0.3424386138
94	0.3420407048
95	0.34182904
96	0.3413288582
97	0.3407920452
98	0.3402574397
99	0.3401530286
100	0.3400431074
101	0.3399599574
102	0.3385566717
103	0.3384764261
104	0.3383995634
105	0.3379139768
106	0.337793657
107	0.337272704
108	0.3370160465
109	0.3368864289
110	0.3365140606
111	0.3353072755
112	0.3347121337
113	0.3344627276
114	0.3340996838
115	0.3339079712
116	0.3331088428
117	0.3326797923
118	0.3326019707
119	0.3325135492
120	0.3324089723
121	0.3323086754
122	0.3322178806
123	0.3315702086
124	0.3312257742
125	0.331147445
126	0.33038636
127	0.3299890695
128	0.3294309878
129	0.3291435842
130	0.3287183857
131	0.3282202252
132	0.3279678196
133	0.3279008028
134	0.3278167702
135	0.3269789094
136	0.3266238527
137	0.326521602
138	0.3264000585
139	0.3261111167
140	0.3260328827
141	0.3259568078
142	0.3257085881
143	0.3256196629
144	0.3255169204
145	0.3254448104
146	0.3250747683
147	0.3246644394
148	0.3246027675
149	0.3243651785
150	0.3240352469
151	0.3239540391
152	0.323854867
153	0.3236109067
154	0.3235462059
155	0.3231292885
156	0.3228057692
157	0.3225198048
158	0.3221421886
159	0.3220432637
160	0.3219741774
161	0.3218940338
162	0.3218177201
163	0.3217465131
164	0.3214964611
165	0.3212494539
166	0.3211670733
167	0.3210967228
168	0.3208324593
169	0.320754461
170	0.3206828182
171	0.3206287343
172	0.3205396627
173	0.3204851065
174	0.3203717669
175	0.3201282448
176	0.3200662283
177	0.3200147819
178	0.3199371676
179	0.3198567769
180	0.319790536
181	0.319507806
182	0.3194370634
183	0.3193933621
184	0.3192070102
185	0.319144538
186	0.3189202815
187	0.3188676681
188	0.3188137411
189	0.3185376223
190	0.318474453
191	0.3181013088
192	0.3180284876
193	0.3177979967
194	0.3177363109
195	0.3176597347
196	0.317393486
197	0.3172957193
198	0.3172118905
199	0.3171332388
671
194	0.04520247197
195	0.04512384139
196	0.04468904095
197	0.0446187713
198	0.04452297845
199	0.0443778309
