,ROC-AUC,Accuracy,Precision,Recall,F1-Score
Logistic Regression,0.6535346576084988,0.605625,0.21258842735352804,0.6237360298030867,0.3170995670995671
CatBoost,0.6355668234963775,0.82203125,0.26107784431137726,0.11601915912719532,0.1606484893146647
Gradient Boosting,0.6342997527504003,0.817265625,0.24780701754385964,0.1202767429483768,0.16194912217843066
LightGBM,0.6299879062748729,0.81375,0.2305229455709712,0.11495476317189994,0.1534090909090909
Random Forest,0.6161943492864888,0.760234375,0.22681359044995408,0.26290580095795635,0.2435297017500616
